WKT,t50_fid,grp_ascii,grp_name,name_ascii,macronated,name,grp_macron
"POLYGON ((3506523.64681651 5145973.7122129,3506518.34696384 5145983.49498989,3506521.01135502 5145993.38102704,3506524.5569887 5145999.5997155,3506536.14651433 5146004.92161479,3506549.57667038 5146000.4640435,3506553.10847775 5145992.46079336,3506550.44581486 5145984.35240478,3506542.39425813 5145977.24940036,3506529.91988321 5145971.92832772,3506523.64681651 5145973.7122129))",5454485,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506564.49660274 5145943.33446158,3506564.50456775 5145951.44540508,3506569.01920725 5145961.2185639,3506576.10468832 5145967.54479572,3506592.19555376 5145969.30658953,3506597.5005913 5145964.85698327,3506598.37837723 5145957.63403742,3506590.40459049 5145947.86433499,3506580.58393661 5145941.54088323,3506571.65271545 5145939.77195118,3506564.49660274 5145943.33446158))",5454484,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506280.96544288 5146045.59852968,3506277.08646572 5146056.26652832,3506277.08649086 5146069.84391746,3506289.69370236 5146081.48148481,3506305.21090796 5146091.17924831,3506317.8181051 5146095.05882187,3506328.4860966 5146095.05880212,3506344.00208425 5146095.05877339,3506350.79166627 5146088.26976625,3506347.88165602 5146081.48137707,3506335.27444451 5146069.84380973,3506313.93843637 5146056.26646009,3506294.54283027 5146044.62890531,3506280.96544288 5146045.59852968))",5454483,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506391.50871971 5145783.57890961,3506384.72032512 5145783.57892218,3506378.90154232 5145790.36732752,3506378.90157465 5145807.82401356,3506389.56959308 5145822.37068218,3506404.11721202 5145838.85744206,3506417.69402097 5145849.52540839,3506428.36201426 5145850.49498787,3506438.06039397 5145843.70657534,3506437.08956602 5145828.18938955,3506422.54314708 5145811.70292966,3506412.84472966 5145798.12585848,3506407.02592172 5145791.33717468,3506399.26791354 5145783.57889525,3506391.50871971 5145783.57890961))",5454482,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506427.74704451 5145745.04004834,3506419.01945684 5145747.94946217,3506421.92829044 5145767.34534128,3506428.71791196 5145781.89231707,3506440.35553323 5145798.37908234,3506451.99313653 5145805.16745537,3506462.65992803 5145805.16743562,3506468.47870365 5145794.49973338,3506468.47867313 5145778.01324657,3506461.69023724 5145755.70767697,3506452.96262623 5145746.00990088,3506437.44543679 5145745.04003039,3506427.74704451 5145745.04004834))",5454481,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506402.26782583 5145696.99288394,3506396.44903405 5145698.93239316,3506392.56945869 5145710.56999104,3506392.56947844 5145721.23768251,3506406.14749098 5145733.84514729,3506421.66347863 5145733.84511856,3506439.11986473 5145733.84508624,3506454.63705238 5145733.84505751,3506458.51664391 5145730.93565266,3506458.51662416 5145720.26796119,3506449.78780596 5145706.6905882,3506438.15019727 5145696.99281751,3506423.60380526 5145695.05304599,3506402.26782583 5145696.99288394))",5454480,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506287.30105209 5145837.26623462,3506281.4822675 5145843.08504073,3506282.45249367 5145857.6320273,3506295.05971595 5145875.08839,3506309.60671872 5145882.84635686,3506319.304511 5145882.8463389,3506324.15369278 5145875.08833613,3506317.36527304 5145861.51095955,3506302.8182541 5145845.02419968,3506294.09004669 5145837.26622204,3506287.30105209 5145837.26623462))",5454479,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506230.69562459 5145852.07680258,3506224.87683461 5145854.98621102,3506224.87685975 5145868.56360017,3506241.36366997 5145881.17075955,3506267.54826168 5145887.95910564,3506274.33665628 5145887.95909307,3506279.18583985 5145881.17068952,3506274.33663473 5145876.32150238,3506257.85042811 5145865.65414144,3506242.33321532 5145852.07678103,3506230.69562459 5145852.07680258))",5454478,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506322.65156105 5145816.80543553,3506315.86258622 5145827.47343956,3506315.86261315 5145842.02042793,3506319.7422352 5145855.59780989,3506334.28924157 5145865.2955752,3506351.74564204 5145873.05413667,3506363.38323457 5145874.02371435,3506373.08162505 5145873.05409717,3506378.90040245 5145863.35569415,3506377.92959066 5145856.56730138,3506361.44396967 5145838.14134664,3506345.92675868 5145825.53358546,3506334.28915179 5145816.80541398,3506322.65156105 5145816.80543553))",5454477,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506341.8078612 5145717.1016048,3506340.04492577 5145724.21430237,3506341.82071087 5145730.43471911,3506356.38450583 5145733.97611432,3506364.10401871 5145730.74652761,3506367.07498085 5145725.07712664,3506359.66895188 5145719.75101961,3506349.85137814 5145716.20504062,3506341.8078612 5145717.1016048))",5454476,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3505995.62419544 5146045.73698293,3506000.14289502 5146060.95483739,3506007.2350659 5146075.28153779,3506020.59489175 5146081.49158308,3506035.72065797 5146083.25570366,3506048.26558808 5146077.9111097,3506050.9138978 5146070.79781049,3506050.02243514 5146063.57651792,3506043.81759369 5146052.02683865,3506025.06692029 5146044.82162914,3506004.54978008 5146041.28459497,3505995.62419544 5146045.73698293))",5454475,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506336.44503022 5145657.55676235,3506338.35373264 5145673.19034631,3506352.90073723 5145681.9185124,3506376.17534383 5145695.49585844,3506386.84333355 5145694.52593947,3506392.66211814 5145688.70713335,3506392.66209659 5145677.06954265,3506386.84329045 5145671.25075808,3506376.17528997 5145666.40188171,3506363.56809103 5145661.55270893,3506349.99128208 5145650.8850426,3506336.44503022 5145657.55676235))",5454474,Chatham Islands,Chatham Islands,,N,,N
"POLYGON ((3506475.01945162 5145553.15808925,3506472.28968867 5145558.49396504,3506475.91910409 5145568.37917541,3506482.11304915 5145568.37308895,3506494.57885927 5145565.69436801,3506493.68694661 5145558.47315044,3506489.25834191 5145554.03308718,3506482.09651769 5145551.37345257,3506475.01945162 5145553.15808925))",5454473,Chatham Islands,Chatham Islands,,N,,N
